imdb_id,original_title,cn_titles,release_year,summary,genres,directors,scriptwriters,actors,length,douban_average_score,douban_star_rating,number_of_ratings,link
tt000180,童心列车,童心列车,2024,1946 年，一个名叫阿梅里戈的七岁男孩离开那不勒斯贫困的家庭，乘火车前往北方的一个富裕家庭生活，这是战后拯救儿童贫困行动的一部分。,剧情 / 历史,克里斯蒂娜·科门奇尼,法里奥·安德烈奥蒂 / Viola Ardone / 吉利亚·卡伦达 / 克里斯蒂娜·科门奇尼 / Camille Duguay,克里斯蒂娜·科门奇尼,106分钟,7.6,3.8,1215,https://www.douban.com/doubanapp/dispatch?uri=/movie/36578173
tt000181,最爱今日天空，我却无法言明,最爱今日天空，我却无法言明,2024,每天都过着迷茫生活的大学生小西，和校内唯一的朋友山根和澡堂的打工伙伴打闹。 有一天下课，被团子头樱田端庄的样子所吸引，下定决心打招呼，机缘巧合下，两人很快一拍即合。 在对话不断的情况下，“我想每天都很开心。 我想我最喜欢今天的天空。”樱田不经意间说出的话刺痛了心。 奇怪的是，那句话和半年前去世的祖母的话一样。 就在这时，改变命运的冲击事件袭击了两个人。,剧情 / 爱情,大九明子,福徳秀介 / 大九明子,大九明子,127分钟,6.2,3.1,961,https://www.douban.com/doubanapp/dispatch?uri=/movie/37046033
tt000182,小雁与吴爱丽,小雁与吴爱丽,2024,小雁与Allie是两位长相一样的女人，一位为保护母亲而过失弑父；一位试图透过表演课理解人生。小雁服刑八年，刑满出狱后回到小镇，被邻里投以异样目光，人生无法重回正轨。当母亲的新男友醉后对母亲施暴，更让她感到命运似乎注定重演。当小雁和Allie的共同秘密被揭开，小雁能否彻底逃离悲剧命运？首度与妻子夏于乔合拍电影，更请来影后杨贵媚、曾国城等同场演出，配合多位曾获金马奖肯定的幕后班底，以镜像关系呈现母女之间的相爱相杀。如此相似的两母女，是不断重复的互相背叛，还是一辈子的陪伴和牵绊？,剧情,林书宇,林书宇,林书宇,108分钟,7.1,3.55,2579,https://www.douban.com/doubanapp/dispatch?uri=/movie/36117675
tt000183,苍茫的天涯是我的爱,苍茫的天涯是我的爱,2025,手持定制剧本，就能走上顶流之路？模范司机赵天涯（曾毅 饰）与一心想要爆火的Rapper于虹（周奇 饰）阴差阳错成为“师徒搭档”。于虹误以为赵天涯是MCN老板乌力吉（孙艺洲 饰）安排的真人秀NPC，误打误撞坐上老赵的大货车，由此踏上从内蒙古到湖南横跨5000公里的“送羊”闯关之旅。这一路，大开眼界。他们偶遇曼玉山庄董事长（柳岩 饰）慷慨解围，围观蒙古女孩Momo（王玉雯 饰）的绝美家族婚礼。在于虹以为自己即将走上人生巅峰之际，剧本走向却发生了天翻地覆的转变……,剧情 / 喜剧,陈孝良,陈孝良,陈孝良,108分钟,4.9,2.45,27687,https://www.douban.com/doubanapp/dispatch?uri=/movie/36978067
tt000184,回声谷,回声谷,2025,讲述女子凯特·加勒特因个人悲剧而摇摇欲坠，她在与世隔绝、风景如画的回声谷农场寄宿并训练马匹。一天深夜，她任性不羁的女儿克莱尔出现在家门口，惊恐颤抖、身上沾满了别人的血。一个母亲为了救她的孩子要付出多少？,剧情 / 惊悚,迈克·皮尔斯,布拉德·英格尔斯比,迈克·皮尔斯,104分钟,6.3,3.15,3047,https://www.douban.com/doubanapp/dispatch?uri=/movie/36303600
tt000185,BJ单身日记4,BJ单身日记4,2025,该片改编自原作小说的第三本，BJ此时五十岁出头，边适应着当代生活，边面对做母亲的责任。,剧情 / 喜剧 / 爱情,迈克尔·莫里斯,海伦·费尔丁 / 丹·马泽 / 艾比·摩根,迈克尔·莫里斯,124分钟,6.4,3.2,3989,https://www.douban.com/doubanapp/dispatch?uri=/movie/36848001
tt000186,浴火之路,浴火之路,2024,崔大路（肖央 饰）、李红樱（赵丽颖 饰）、赵子山（刘烨 饰），三位丢了孩子的父母因一桩交易而彼此牵连；他们眼里没魂儿，心中有恨，各怀目的，组局踏上寻子复仇之路，在蛮荒之地上演一场离奇又凶险的绝杀。,剧情 / 犯罪,五百,尚可,五百,126分钟,6.2,3.1,169643,https://www.douban.com/doubanapp/dispatch?uri=/movie/36211169
tt000187,粉丝来信,航海王,2024,故事讲述了顶上战争两年后的香波迪群岛上，娜美的小迷妹展开的一场小小冒险……本作改编自航海王官方外传小说《航海王 novel 草帽故事集》，小说描述了以一般人的角度来看待草帽海贼团成员们的短篇故事。,动作 / 动画 / 奇幻,石谷惠,丰田百香,石谷惠,25分钟,9.4,4.7,7257,https://www.douban.com/doubanapp/dispatch?uri=/movie/37069540
tt000188,角斗士2,角斗士2,2024,影片故事延续前作，路奇乌斯（保罗·麦斯卡 Paul Mescal 饰）童年时亲眼目击受万人景仰的英雄马克西蒙斯死于舅舅之手，多年后已长大成人的他，在暴君的铁腕统治下，被迫进入竞技场为生存而战。心中充满怒火的路奇乌斯，眼见罗马帝国的未来岌岌可危，决心讨回本属于他的权力和荣誉 ，还罗马人民一个辉煌的罗马。,剧情 / 动作 / 冒险,雷德利·斯科特,大卫·斯卡尔帕,雷德利·斯科特,148分钟,6.3,3.15,45998,https://www.douban.com/doubanapp/dispatch?uri=/movie/30368790
tt000189,那年圣诞不一样,那年圣诞不一样,2024,《那年圣诞不一样》改编自屡获殊荣的编剧兼导演理查德·柯蒂斯（《四个婚礼和一个葬礼》《诺丁山》《真爱至上》《昨日奇迹》）创作的迷人儿童读物三部曲，讲述了一系列关于爱与孤独、家人与朋友以及圣诞老人犯下大错的故事，火鸡更是要多少有多少！,喜剧 / 动画 / 家庭 / 奇幻 / 冒险,西蒙·奥托,理查德·柯蒂斯 / 彼得·苏特 / 安德鲁·道森 / 斯蒂夫·道森 / 蒂姆·因曼,西蒙·奥托,91分钟,7.2,3.6,2758,https://www.douban.com/doubanapp/dispatch?uri=/movie/35729390
