排名,标题,链接,导演,主演,年份,国家,类型,评分,评价人数,一句话评价
209,东邪西毒,https://movie.douban.com/subject/1292328/,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情/动作/爱情/武侠/古装,8.6,626115,
210,花束般的恋爱,https://movie.douban.com/subject/34874432/,土井裕泰 Nobuhiro Doi,菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情/爱情,8.6,794010,
211,波西米亚狂想曲,https://movie.douban.com/subject/5300054/,布莱恩·辛格 Bryan Singer,拉米·马雷克 Rami Malek / 本·哈...,2018,英国 美国,剧情/传记/同性/音乐,8.6,676602,
212,城市之光,https://movie.douban.com/subject/1293908/,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1931,美国,喜剧/剧情/爱情,9.3,167657,
213,爆裂鼓手,https://movie.douban.com/subject/25773932/,达米恩·查泽雷 Damien Chazelle,迈尔斯·特勒 Miles Teller /...,2014,美国,剧情/音乐,8.6,676073,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
214,白日梦想家,https://movie.douban.com/subject/2133323/,本·斯蒂勒 Ben Stiller,本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国 英国,剧情/喜剧/冒险,8.6,620391,
215,青蛇,https://movie.douban.com/subject/1303394/,徐克 Hark Tsui,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港 中国大陆,剧情/爱情/奇幻/古装,8.6,587736,
216,爱乐之城,https://movie.douban.com/subject/25934014/,达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情/爱情/歌舞,8.4,1069980,
217,黑天鹅,https://movie.douban.com/subject/1978709/,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie...,2010,美国,剧情/惊悚,8.6,835354,黑暗之美。
218,哈利·波特与死亡圣器(上),https://movie.douban.com/subject/2051007/,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国 美国,奇幻/冒险,8.6,678197,最忠于原著的一部。
219,终结者2：审判日,https://movie.douban.com/subject/1291844/,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作/科幻,8.8,376644,
220,无耻混蛋,https://movie.douban.com/subject/1438652/,昆汀·塔伦蒂诺 Quentin Tarantino,布拉德·皮特 Brad Pitt / ...,2009,德国 美国,剧情/犯罪,8.7,545134,昆汀同学越来越变态了，比北野武还杜琪峰。
221,初恋这件小事,https://movie.douban.com/subject/4739952/,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,N/A,2010,泰国,剧情/喜剧/爱情,8.5,1040284,黑小鸭速效美白记。
222,新龙门客栈,https://movie.douban.com/subject/1292287/,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港 中国大陆,动作/爱情/武侠/古装,8.7,497789,
223,大红灯笼高高挂,https://movie.douban.com/subject/1293323/,张艺谋 Yimou Zhang,巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,1991,中国大陆 中国香港 中国台湾,剧情,8.8,355982,
224,雨人,https://movie.douban.com/subject/1291870/,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情,8.7,437021,
225,人工智能,https://movie.douban.com/subject/1302827/,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,2001,美国 英国,剧情/科幻,8.7,492520,
226,崖上的波妞,https://movie.douban.com/subject/1959877/,宫崎骏 Hayao Miyazaki,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画/奇幻/冒险,8.6,563643,
227,虎口脱险,https://movie.douban.com/subject/1296909/,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,1966,法国 英国,喜剧/战争,8.9,289141,
228,千钧一发,https://movie.douban.com/subject/1300117/,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情/科幻/惊悚,8.8,339054,
229,真爱至上,https://movie.douban.com/subject/1292401/,理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant / 连姆...,2003,英国 美国 法国,喜剧/剧情/爱情,8.5,794325,
230,罗生门,https://movie.douban.com/subject/1291879/,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情/犯罪/悬疑,8.8,350741,
231,恋恋笔记本,https://movie.douban.com/subject/1309163/,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情/爱情,8.5,735925,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
232,哈利·波特与凤凰社,https://movie.douban.com/subject/1457217/,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2007,英国 美国,奇幻/冒险,8.6,677393,
233,彗星来的那一夜,https://movie.douban.com/subject/25807345/,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻/悬疑/惊悚,8.6,666637,小成本大魅力。
234,海边的曼彻斯特,https://movie.douban.com/subject/25980443/,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,2016,美国,剧情/家庭,8.6,634312,我们都有权利不与自己的过去和解。
235,火星救援,https://movie.douban.com/subject/25864085/,雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon / 杰西卡...,2015,英国 美国 匈牙利 约旦,剧情/科幻/冒险,8.5,815137,
236,黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,N/A,2003,美国,动作/科幻,8.7,447064,
237,奇迹男孩,https://movie.douban.com/subject/26787574/,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情/儿童/家庭,8.6,592855,世界不完美，爱会有奇迹。
238,萤火虫之墓,https://movie.douban.com/subject/1293318/,高畑勋 Isao Takahata,辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画/剧情/战争,8.7,433743,
239,千年女优,https://movie.douban.com/subject/1307394/,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画/剧情/爱情,8.8,310452,
240,战争之王,https://movie.douban.com/subject/1419936/,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 德国,剧情/犯罪,8.7,407665,做一颗让别人需要你的棋子。
241,步履不停,https://movie.douban.com/subject/2222996/,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情/家庭,8.8,315705,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
242,谍影重重2,https://movie.douban.com/subject/1308767/,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2004,美国 德国,动作/悬疑/惊悚,8.7,391726,谁说王家卫镜头很晃？
243,攻壳机动队,https://movie.douban.com/subject/1291936/,押井守 Mamoru Oshii,田中敦子 Atsuko Tanaka / 大冢明夫 Akio...,1995,日本,动作/科幻/动画,9.0,209304,
244,蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,N/A,2018,美国,动作/科幻/动画/冒险,8.6,743470,
245,血钻,https://movie.douban.com/subject/1428175/,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情/惊悚/冒险,8.7,415109,每个美丽事物背后都是滴血的现实。
246,冰雪奇缘,https://movie.douban.com/subject/4202982/,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀...,2013,美国,喜剧/动画/奇幻/歌舞,8.5,801435,
247,魂断蓝桥,https://movie.douban.com/subject/1293964/,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情/爱情/战争,8.8,305187,
248,房间,https://movie.douban.com/subject/25724855/,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情/家庭,8.8,395187,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
249,隐藏人物,https://movie.douban.com/subject/26615208/,特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森 Taraji P. ...,2016,美国,剧情/传记/历史,8.9,262506,
250,谍影重重,https://movie.douban.com/subject/1304102/,道格·里曼 Doug Liman,马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作/悬疑/惊悚,8.6,478507,
